price,sqm,rooms,age,balcony,lift,parking
95000,28,1.0,40,true,false,true
289000,80,4.5,44,true,false,false
690000,218,3.5,2,true,true,true
277000,64,2.5,112,true,false,false
625000,142,4.5,2,true,false,true
1350000,100,3.5,-1,false,false,false
625000,142,4.5,2,true,false,true
745000,112,4.5,0,true,true,true
685000,115,3.5,1,false,false,false
495000,82,2.5,1,false,false,false
745000,115,3.5,1,false,false,false
695000,103,4.5,34,true,false,true
465000,62,3.5,46,true,true,false
670000,67,2.5,2,true,true,true
595000,98,3.5,2,true,true,true
810000,112,3.5,7,false,false,false
720000,174,4.5,26,false,true,false
550000,118,4.5,27,false,false,false
1200000,94,3.5,3,true,true,true
2040000,174,5.5,2,false,true,false
1590000,131,4.5,2,false,false,false
690000,70,2.5,1,true,true,true
625000,141,4.5,2,true,false,true
655000,115,4.5,22,true,true,false
520000,125,4.5,33,true,false,false
625000,142,4.5,2,true,false,true
248000,51,2.0,48,false,false,false
920000,101,3.5,3,false,true,false
850000,66,2.5,2,false,false,false
1790000,131,4.5,2,false,false,false
2090000,169,5.5,5,true,true,true
1620000,133,4.5,1,false,true,false
810000,72,3.0,14,false,false,false
1020000,75,3.5,31,true,true,false
1450000,109,3.5,5,true,true,false
415000,90,2.5,43,false,false,false
680000,126,4.5,6,true,true,true
1795000,155,4.0,10,true,false,true
1795000,155,4.0,10,true,false,true
929000,100,3.5,1,true,true,true
2750000,210,4.5,4,true,true,true
2380000,229,4.5,3,true,true,false
1500000,194,4.5,1,true,true,false
395000,91,4.5,112,true,false,false
190000,96,3.5,98,false,false,false
330000,40,1.5,43,true,true,true
345000,48,2.0,39,true,false,false
345000,48,2.0,39,true,false,false
720000,115,4.5,7,true,true,true
640000,118,4.5,5,true,true,true
315000,60,2.5,11,false,true,false
975000,125,3.5,1,true,true,true
399000,116,4.5,38,true,false,false
810000,121,4.5,21,true,true,false
655000,65,2.5,1,true,true,false
855000,92,4.5,1,true,true,true
1150000,156,5.5,0,true,false,false
775000,105,4.5,1,true,true,false
790000,120,3.5,1,true,true,true
450000,73,2.5,1,true,true,true
625000,112,3.5,1,true,true,true
750000,141,4.5,1,true,true,true
4200000,222,6.5,12,true,true,true
485000,101,3.5,21,true,false,false
1230000,160,5.5,0,true,true,true
899000,162,5.5,5,true,false,true
418000,86,2.5,21,true,false,false
650000,118,4.5,1,true,true,false
1179000,164,4.5,1,false,false,false
685000,115,3.5,1,false,false,false
970000,128,4.5,7,true,true,true
690000,134,5.5,24,true,true,false
1150000,119,4.5,3,true,true,false
990000,89,3.5,1,true,true,false
710000,80,3.5,23,false,false,false
559000,132,5.5,12,false,false,false
1120000,168,4.5,4,true,true,true
490000,78,4.5,66,true,false,true
465000,107,5.5,44,false,true,false
790000,111,4.5,10,true,true,true
700000,132,4.5,11,true,true,false
480000,92,3.0,42,true,true,false
620000,150,5.5,10,true,true,true
620000,150,5.5,10,true,true,true
543000,106,3.5,1,true,true,true
595000,98,3.5,2,true,true,true
820000,112,5.5,38,true,false,false
925000,84,3.5,32,true,true,true
749000,135,4.5,1,true,true,false
380000,137,5.5,44,true,false,true
1200000,101,3.5,3,false,true,true
490000,119,4.5,1,true,true,true
350000,75,3.5,48,false,false,false
1420000,143,5.5,0,true,false,false
415000,90,2.5,43,false,false,false
650000,119,4.5,1,true,true,false
665000,123,3.5,1,true,true,false
650000,119,4.5,1,true,true,false
1110000,182,4.5,1,true,true,false
1195000,161,4.0,7,true,true,true
1495000,166,5.5,0,true,false,false
880000,100,3.5,4,true,true,false
1220000,154,4.5,10,true,true,false
1075000,210,6.5,14,true,false,false
655000,125,4.5,22,true,true,true
640000,57,2.0,25,true,false,false
395000,90,4.5,23,true,false,true
1100000,135,4.5,27,true,true,false
345000,88,3.5,25,true,false,true
150000,30,2.5,43,true,false,true
1050000,142,5.5,36,false,false,false
439000,78,3.5,1,true,true,true
490000,126,4.5,42,true,true,false
695000,110,4.5,26,true,false,false
1110000,167,5.5,1,true,true,true
780000,112,4.5,2,true,true,true
495000,53,2.0,43,true,true,false
890000,107,4.5,13,true,true,true
1650000,161,5.5,45,true,false,true
920000,98,3.5,2,true,true,false
1095000,120,4.5,37,true,false,false
230000,65,3.5,36,true,false,true
850000,66,2.5,2,false,false,false
790000,118,4.5,3,true,true,true
950000,138,4.5,1,true,true,true
950000,138,4.5,1,true,true,true
1100000,135,4.5,27,true,true,false
199000,72,3.5,42,false,false,false
1740000,200,5.5,1,true,true,false
595000,98,3.5,2,true,true,true
515000,95,3.5,2,true,true,false
895000,105,3.0,43,false,false,false
1850000,179,4.5,8,true,true,true
530000,60,2.0,14,false,false,false
790500,169,5.5,1,false,false,true
280000,93,3.5,43,true,false,true
785000,106,3.5,5,true,true,false
360000,66,2.5,1,true,true,true
480000,91,3.5,1,true,true,true
440000,123,4.5,15,false,false,false
755000,120,4.5,18,true,true,true
750000,197,6.5,21,true,false,true
790000,110,3.5,47,true,true,false
1480000,144,5.5,0,true,true,true
490000,78,4.5,66,true,false,true
199000,72,3.5,42,false,false,false
1100000,185,4.5,26,false,true,false
370000,76,3.5,45,true,false,false
415000,90,2.5,43,false,false,false
410000,100,4.0,48,true,false,false
825000,122,4.5,1,true,true,false
480000,102,4.5,43,false,true,true
480000,92,3.5,0,true,true,true
1095000,118,4.5,94,true,false,false
410000,50,2.0,53,true,false,false
1450000,125,3.5,22,true,true,false
455000,98,3.5,13,true,true,false
1310000,154,4.5,1,true,true,false
1300000,130,4.5,6,true,true,true
855000,92,4.5,1,true,true,true
395000,68,2.5,2,true,false,true
1190000,115,3.5,2,true,true,true
760000,135,4.5,0,true,true,true
1040000,116,5.5,49,true,false,true
577000,106,4.5,1,true,true,true
880000,120,3.5,10,true,true,true
1040000,101,2.5,1,false,false,false
895000,190,4.5,18,false,true,false
960000,122,4.5,0,true,true,false
1440000,140,4.5,1,true,true,false
585000,116,4.5,25,true,true,true
1225000,129,4.5,15,true,true,false
1190000,115,3.5,2,true,true,true
990000,158,5.5,1,true,true,true
1015000,138,5.5,1,true,true,true
2180000,141,3.5,2,true,true,true
1140000,111,3.5,1,true,true,false
595000,98,3.5,2,true,true,true
950000,90,3.5,0,true,true,false
1290000,225,7.5,36,true,false,true
830000,114,4.5,14,true,true,false
398000,70,3.5,31,true,false,true
460000,116,4.5,35,true,true,true
640000,71,2.5,0,true,true,true
1220000,190,5.5,2,true,true,true
435000,141,4.5,24,true,true,true
850000,100,4.5,7,true,true,true
455000,48,1.5,1,true,true,true
460000,87,3.5,22,true,true,false
884000,150,5.5,3,true,true,true
1740000,200,5.5,1,true,true,false
1755000,159,4.5,1,true,true,false
200000,67,3.5,93,true,false,true
1040000,104,4.5,0,true,true,true
1380000,128,3.5,0,true,true,true
338000,75,3.5,48,true,true,false
1290000,186,5.5,-1,true,true,false
898000,130,5.5,8,true,true,false
660000,96,3.5,2,true,true,true
2380000,229,4.5,3,true,true,false
1190000,154,4.5,-1,true,true,false
545000,108,3.5,1,false,false,true
114000,33,1.0,37,true,true,false
780000,150,4.5,0,true,true,true
575000,150,5.5,40,true,false,true
545000,108,3.5,1,false,false,true
990000,164,4.5,-1,true,true,false
665000,118,3.5,29,true,true,false
1995000,260,7.5,8,true,true,true
657900,137,4.5,2,false,false,true
325000,65,3.0,40,true,false,false
657900,137,4.5,2,false,false,true
821000,170,5.5,25,false,false,false
1175000,144,5.5,17,true,false,false
715000,112,4.5,-1,true,true,true
545000,85,3.5,0,true,true,true
400000,70,3.0,0,false,true,false
550000,105,4.5,2,true,true,false
758000,128,4.5,3,true,true,true
780000,126,4.5,3,true,true,true
786000,128,4.5,3,true,true,true
978000,150,5.5,3,true,true,true
730000,112,4.5,0,true,true,true
1070000,150,4.5,-1,true,true,true
780000,76,4.0,47,true,true,true
740000,80,2.5,1,true,true,true
355000,65,2.5,1,true,true,true
450000,75,3.5,1,true,true,true
995000,120,3.5,2,true,true,true
529000,105,3.5,70,false,false,true
529000,105,3.5,70,false,false,true
1295000,95,3.5,27,false,true,true
1295000,95,3.5,27,false,true,true
190000,96,3.5,98,false,false,false
570000,95,4.0,11,true,true,false
570000,95,4.0,11,true,true,false
529000,105,3.5,70,false,false,true
529000,105,3.5,70,false,false,true
560000,110,4.5,6,true,false,false
727000,111,4.5,2,true,true,true
1760000,110,4.0,16,false,false,false
804000,100,3.5,2,false,true,false
710000,80,3.5,23,false,false,false
545000,117,4.5,26,true,true,false
379000,70,3.5,48,false,false,false
1140000,135,4.5,1,true,true,true
525000,123,4.5,1,false,true,true
480000,54,2.5,39,false,false,false
505000,77,3.5,24,false,false,false
895000,105,3.0,43,false,false,false
450000,50,2.5,39,false,false,false
545000,60,2.5,1,false,true,false
545000,60,2.5,1,false,true,false
595000,98,3.5,2,true,true,true
560000,110,4.5,6,true,false,false
590000,103,3.5,5,false,true,true
1695000,177,6.5,13,true,true,true
570000,94,3.5,4,true,true,true
495000,118,4.5,30,false,false,false
704000,114,4.5,0,true,true,true
694000,114,3.5,0,true,true,true
315000,60,2.5,11,false,true,false
1040000,137,5.5,21,true,true,false
695000,179,6.5,13,true,false,false
1650000,101,3.5,1,true,true,true
635000,64,3.5,2,true,true,true
690000,69,2.5,0,true,true,true
